execution_id,model,time_model_python
503b3259-5e56-4e9b-92cb-1084bc320c62,CrossCorrelation,16
503b3259-5e56-4e9b-92cb-1084bc320c62,Multireg,32
2a418f68-7870-4bb1-98ba-12a1710ff1b7,Polyfit,106
2a418f68-7870-4bb1-98ba-12a1710ff1b7,CrossCorrelation,20
2a418f68-7870-4bb1-98ba-12a1710ff1b7,Multireg,45
786ea9e9-9e9e-410e-82f0-6eef387ad3ef,Polyfit,5
786ea9e9-9e9e-410e-82f0-6eef387ad3ef,CrossCorrelation,2
786ea9e9-9e9e-410e-82f0-6eef387ad3ef,Multireg,9
74d5433a-9472-4dc7-9ee1-375e53252f01,Polyfit,12
74d5433a-9472-4dc7-9ee1-375e53252f01,CrossCorrelation,2
74d5433a-9472-4dc7-9ee1-375e53252f01,Multireg,10
a866d946-8217-463e-ab25-3af08038b726,Polyfit,11
a866d946-8217-463e-ab25-3af08038b726,CrossCorrelation,2
a866d946-8217-463e-ab25-3af08038b726,Multireg,9
8a39dadd-3e0e-4af7-b2d0-6f4eb025de14,Polyfit,12
8a39dadd-3e0e-4af7-b2d0-6f4eb025de14,CrossCorrelation,2
8a39dadd-3e0e-4af7-b2d0-6f4eb025de14,Multireg,10
2176cf61-c53d-4640-a473-e8e625f51618,Polyfit,12
2176cf61-c53d-4640-a473-e8e625f51618,CrossCorrelation,4
2176cf61-c53d-4640-a473-e8e625f51618,Multireg,9
45e34812-5579-467d-b9a3-566ca9bc2e73,Polyfit,26
45e34812-5579-467d-b9a3-566ca9bc2e73,CrossCorrelation,5
45e34812-5579-467d-b9a3-566ca9bc2e73,Multireg,16
616c29f7-e36d-4b09-b1af-04b338a11a0f,Polyfit,67
616c29f7-e36d-4b09-b1af-04b338a11a0f,CrossCorrelation,6
616c29f7-e36d-4b09-b1af-04b338a11a0f,Multireg,20
67af32d6-f0f4-4a75-a644-63374dfd177a,Polyfit,33
67af32d6-f0f4-4a75-a644-63374dfd177a,CrossCorrelation,7
67af32d6-f0f4-4a75-a644-63374dfd177a,Multireg,19
9f0dee81-cab8-44d0-a4ad-8bbc046fc6b5,Polyfit,34
9f0dee81-cab8-44d0-a4ad-8bbc046fc6b5,CrossCorrelation,7
9f0dee81-cab8-44d0-a4ad-8bbc046fc6b5,Multireg,18
