execution_id,model,time
Cimice-119-2,timeDecisionTree,678
Cimice-119-2,timeRandomForest,867
Cimice-119-2,decisionTree,2
Cimice-119-2,randomForest,2
Cimice-119-1,pivot,4
Cimice-119-1,univariateTS,42
Cimice-119-1,multivariateTS,20941
Cimice-119-1,timeDecisionTree,18
Cimice-119-1,timeRandomForest,19
Cimice-119-1,decisionTree,2
Cimice-119-1,randomForest,2
Cimice-119-0,pivot,4
Cimice-119-0,univariateTS,38
Cimice-119-0,timeDecisionTree,19
Cimice-119-0,timeRandomForest,18
Cimice-119-0,decisionTree,2
Cimice-119-0,randomForest,2
Cimice-114-Test4,pivot,4
Cimice-114-Test4,univariateTS,37
Cimice-114-Test4,multivariateTS,5529
Cimice-114-Test4,timeDecisionTree,19
Cimice-114-Test4,timeRandomForest,19
Cimice-114-Test4,decisionTree,2
Cimice-114-Test4,randomForest,2
080e77d5-0aa4-4538-94a9-48dc1ccaa5a0,pivot,5
080e77d5-0aa4-4538-94a9-48dc1ccaa5a0,univariateTS,47
080e77d5-0aa4-4538-94a9-48dc1ccaa5a0,multivariateTS,70221
080e77d5-0aa4-4538-94a9-48dc1ccaa5a0,timeDecisionTree,19
080e77d5-0aa4-4538-94a9-48dc1ccaa5a0,timeRandomForest,18
080e77d5-0aa4-4538-94a9-48dc1ccaa5a0,decisionTree,2
080e77d5-0aa4-4538-94a9-48dc1ccaa5a0,randomForest,2
b1ac41c8-d2b5-491b-99d1-3bb2e60b986b,pivot,2
b1ac41c8-d2b5-491b-99d1-3bb2e60b986b,univariateTS,36
b1ac41c8-d2b5-491b-99d1-3bb2e60b986b,timeDecisionTree,17
b1ac41c8-d2b5-491b-99d1-3bb2e60b986b,timeRandomForest,16
b1ac41c8-d2b5-491b-99d1-3bb2e60b986b,decisionTree,1
b1ac41c8-d2b5-491b-99d1-3bb2e60b986b,randomForest,1
ea9e668c-c991-44ad-8e27-bc2df44a2e51,pivot,21
ea9e668c-c991-44ad-8e27-bc2df44a2e51,univariateTS,38
ea9e668c-c991-44ad-8e27-bc2df44a2e51,multivariateTS,85540
ea9e668c-c991-44ad-8e27-bc2df44a2e51,timeDecisionTree,21
ea9e668c-c991-44ad-8e27-bc2df44a2e51,timeRandomForest,24
ea9e668c-c991-44ad-8e27-bc2df44a2e51,decisionTree,3
ea9e668c-c991-44ad-8e27-bc2df44a2e51,randomForest,3
9272258f-181a-4eb4-a8fe-36332ae7cfe7,pivot,2
9272258f-181a-4eb4-a8fe-36332ae7cfe7,univariateTS,36
9272258f-181a-4eb4-a8fe-36332ae7cfe7,timeDecisionTree,16
9272258f-181a-4eb4-a8fe-36332ae7cfe7,timeRandomForest,16
9272258f-181a-4eb4-a8fe-36332ae7cfe7,decisionTree,1
9272258f-181a-4eb4-a8fe-36332ae7cfe7,randomForest,1
ce8c26d0-e00f-4219-a5c6-328ab8b0c46b,pivot,1
ce8c26d0-e00f-4219-a5c6-328ab8b0c46b,univariateTS,94125
ce8c26d0-e00f-4219-a5c6-328ab8b0c46b,timeDecisionTree,541
ce8c26d0-e00f-4219-a5c6-328ab8b0c46b,timeRandomForest,774
ce8c26d0-e00f-4219-a5c6-328ab8b0c46b,decisionTree,221
ce8c26d0-e00f-4219-a5c6-328ab8b0c46b,randomForest,454
2b8a93be-3fb2-493e-847d-e0fdc90f4ae2,decisionTree,282
2b8a93be-3fb2-493e-847d-e0fdc90f4ae2,randomForest,515
616af6db-97b8-45fa-8a30-7ad2c49f5df2,decisionTree,289
616af6db-97b8-45fa-8a30-7ad2c49f5df2,randomForest,527
d7ec882e-044a-4448-94fc-cb0d5e22c987,decisionTree,2
d7ec882e-044a-4448-94fc-cb0d5e22c987,randomForest,1
8c8dee13-7884-442c-ae6c-eb9580052dfc,decisionTree,2
8c8dee13-7884-442c-ae6c-eb9580052dfc,randomForest,1
f6bbe0f7-a720-41ab-bbec-d31ad9e0bc90,pivot,1
f6bbe0f7-a720-41ab-bbec-d31ad9e0bc90,univariateTS,54933
f6bbe0f7-a720-41ab-bbec-d31ad9e0bc90,timeDecisionTree,592
f6bbe0f7-a720-41ab-bbec-d31ad9e0bc90,timeRandomForest,865
f6bbe0f7-a720-41ab-bbec-d31ad9e0bc90,decisionTree,249
f6bbe0f7-a720-41ab-bbec-d31ad9e0bc90,randomForest,507
c3929ea4-d7a2-4b28-b270-73c64ecb60a6,pivot,1
c3929ea4-d7a2-4b28-b270-73c64ecb60a6,univariateTS,40686
c3929ea4-d7a2-4b28-b270-73c64ecb60a6,timeDecisionTree,542
c3929ea4-d7a2-4b28-b270-73c64ecb60a6,timeRandomForest,795
c3929ea4-d7a2-4b28-b270-73c64ecb60a6,decisionTree,235
c3929ea4-d7a2-4b28-b270-73c64ecb60a6,randomForest,484
550ac766-a5d1-457e-ba25-7479a0dc7820,pivot,1
550ac766-a5d1-457e-ba25-7479a0dc7820,univariateTS,35
550ac766-a5d1-457e-ba25-7479a0dc7820,timeDecisionTree,17
550ac766-a5d1-457e-ba25-7479a0dc7820,timeRandomForest,16
550ac766-a5d1-457e-ba25-7479a0dc7820,decisionTree,1
550ac766-a5d1-457e-ba25-7479a0dc7820,randomForest,1
2d4d1f71-20a8-4178-9d0e-34e768be5e33,pivot,1
2d4d1f71-20a8-4178-9d0e-34e768be5e33,univariateTS,36
2d4d1f71-20a8-4178-9d0e-34e768be5e33,timeDecisionTree,16
2d4d1f71-20a8-4178-9d0e-34e768be5e33,timeRandomForest,16
2d4d1f71-20a8-4178-9d0e-34e768be5e33,decisionTree,1
2d4d1f71-20a8-4178-9d0e-34e768be5e33,randomForest,1
508763ea-aefa-4aa1-8702-eedd7bdeef6b,pivot,1
508763ea-aefa-4aa1-8702-eedd7bdeef6b,univariateTS,48
508763ea-aefa-4aa1-8702-eedd7bdeef6b,timeDecisionTree,16
508763ea-aefa-4aa1-8702-eedd7bdeef6b,timeRandomForest,16
508763ea-aefa-4aa1-8702-eedd7bdeef6b,decisionTree,1
508763ea-aefa-4aa1-8702-eedd7bdeef6b,randomForest,1
a591a76e-0e7f-4047-98c6-7b8f94462330,pivot,1
a591a76e-0e7f-4047-98c6-7b8f94462330,univariateTS,37
a591a76e-0e7f-4047-98c6-7b8f94462330,timeDecisionTree,17
a591a76e-0e7f-4047-98c6-7b8f94462330,timeRandomForest,17
a591a76e-0e7f-4047-98c6-7b8f94462330,decisionTree,1
